Фамилия Имя Отчество Дата рождения	Текущее подразделение 	Текущая должность	Дипранг
БОДРОВ ЮРИЙ ЕВГЕНЬЕВИЧ 28.06.1953	ПОСОЛЬСТВО РОССИИ В БЕЛЬГИИ 10.03.2011 09.03.2014	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 11.02.2008
БОЙКОВ ЕВГЕНИЙ МИРОСЛАВОВИЧ 27.04.1954	ГЕНКОНСУЛЬСТВО РОССИИ В ГЕНУЕ, ИТАЛИЯ 10.11.2009 09.11.2012	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 08.07.2004
БОЛДЫРЕВ АЛЕКСАНДР ВИЛОВИЧ27.12.1955	ДЕПАРТАМЕНТ ИНФОРМАЦИИ И ПЕЧАТИ27.09.2010	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 10.02.2012
БОРИСЕНКО ГЕОРГИЙ ЕВГЕНЬЕВИЧ 10.07.1968	ПОСОЛЬСТВО РОССИИ В США 20.06.2003 24.11.2011	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 12.06.2011
БУДАЕВ АНДРЕЙ ВЛАДИМИРОВИЧ 14.03.1960	ГЕНКОНСУЛЬСТВО РОССИИ В РИО-ДЕ-ЖАНЕЙРО, БРАЗИЛИЯ 09.06.2010 08.06.2013	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 06.03.2007
БУРАВОВ АНДРЕЙ ВЯЧЕСЛАВОВИЧ 24.11.1962	ПОСОЛЬСТВО РОССИИ В ТУРЦИИ 07.07.2008 06.07.2012	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 17.01.2011
БУРДИН АЛЕКСАНДР ВЛАДИМИРОВИЧ 24.03.1950	ГЕНКОНСУЛЬСТВО РОССИИ В СТРАСБУРГЕ, ФРАНЦИЯ 14.06.2011 14.06.2014	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 06.02.2009
БУРМИСТРОВ ОЛЕГ НИКОЛАЕВИЧ 01.05.1963	ДЕПАРТАМЕНТ СЕВЕРНОЙ АМЕРИКИ 15.09.2006 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 13.04.2009
БУТИН СЕРГЕЙ ВЛАДИМИРОВИЧ	ПОСОЛЬСТВО РОССИИ В ЯПОНИИ	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 04.02.2013
ВАНИЕВ ВЛАДИМИР ЕЛЬБАЗДУКОВИЧ 17.04.1949	ПОСОЛЬСТВО РОССИИ В ТАДЖИКИСТАНЕ 05.06.2010 17.04.2012	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 18.03.1992
