Фамилия Имя Отчество Дата рождения	Текущее подразделение 	Текущая должность	Дипранг
ЛАПШИН ВЛАДИМИР АНАТОЛЬЕВИЧ 01.10.1951	ПОСОЛЬСТВО РОССИИ В КАНАДЕ 10.10.2008 09.10.2011	СТАРШИЙ СОВЕТНИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 23.08.2005
ЛАТЫПОВ НАИЛЬ МАЗГУТОВИЧ 05.10.1956	РОТАЦИОННЫЙ РЕЗЕРВ 01.11.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 21.02.2011
ЛЕБЕДЕВ МИХАИЛ АЛЕКСАНДРОВИЧ 11.10.1947	ПОСТПРЕДСТВО РОССИИ ПРИ ОТД.ООН И ДР.МО В ЖЕНЕВЕ 12.10.2009 11.10.2012	ЗАМ. ПОСТ. ПРЕДСТАВИТЕЛЯ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 29.09.1999
ЛЕБЕДЕНКО ВЛАДИМИР ЮРЬЕВИЧ 25.03.1962	ДСПО 08.02.2008 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 18.07.2007
ЛЕВИН ВЯЧЕСЛАВ ИВАНОВИЧ 09.04.1950	ГЕНКОНСУЛЬСТВО РОССИИ В КЕЙПТАУНЕ, ЮАР 15.01.2010 14.01.2013	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 12.03.2003
ЛЕДЕНЕВ МИХАИЛ НИКОЛАЕВИЧ 13.12.1962	ГЕНСЕКРЕТАРИАТ (ДЕПАРТАМЕНТ) 01.09.2011 	ПОМОЩНИК МИНИСТРА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 06.02.2009
ЛИЗУН ВИКТОР НИКОЛАЕВИЧ 19.12.1950	ДЕП. ДИПЛОМАТИЧЕСКО-КУРЬЕРСКОЙ СВЯЗИ 19.12.2010 	ДИРЕКТОР ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 12.09.1997
ЛИПАЕВ ВЛАДИМИР ГЕОРГИЕВИЧ 06.02.1959	ДЕПАРТАМЕНТ КАДРОВ 04.07.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 07.07.2007
ЛИСТОПАДОВ НИКОЛАЙ АЛЕКСАНДРОВИЧ	ГЕНКОНСУЛЬСТВО РОССИИ В ЧЕННАИ, ИНДИЯ	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 16.07.2012
ЛОБАНОВ ДМИТРИЙ ДМИТРИЕВИЧ 23.10.1957	ПЕРВЫЙ ЕВРОПЕЙСКИЙ ДЕПАРТАМЕНТ 01.11.2005 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 24.01.2008
ЛОБАНОВ СЕРГЕЙ ИВАНОВИЧ 03.06.1953	ПОСОЛЬСТВО РОССИИ В ЦАР 18.05.2011 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 15.07.2005
ЛОБАЧ ДМИТРИЙ АНАТОЛЬЕВИЧ 20.12.1958	ПРАВОВОЙ ДЕПАРТАМЕНТ 21.09.2006 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 23.04.2008
ЛОГУТОВ ВЯЧЕСЛАВ АНАТОЛЬЕВИЧ 21.12.1951	ГЕНКОНСУЛЬСТВО РОССИИ В ЛЕЙПЦИГЕ, ФРГ 02.12.2010 01.12.2013	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 03.03.2010
ЛОМАКИН ВАЛЕНТИН ВАСИЛЬЕВИЧ 23.11.1938	ГЕНСЕКРЕТАРИАТ (ДЕПАРТАМЕНТ) 01.01.2009 	ЭКСПЕРТ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 19.11.1993
ЛОПУХОВ АНДРЕЙ ГЕОРГИЕВИЧ 21.03.1958	ДЕПАРТАМЕНТ КАДРОВ 27.09.2010 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 14.02.2006
ЛОПУШИНСКИЙ АЛЕКСАНДР АЛЕКСАНДРОВИЧ 15.08.1948	ПОСОЛЬСТВО РОССИИ В ФРГ 10.01.2011 09.01.2013	СОВЕТНИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 10.02.2004
ЛУКАШЕВИЧ АЛЕКСАНДР КАЗИМИРОВИЧ 27.01.1959	ДЕПАРТАМЕНТ ИНФОРМАЦИИ И ПЕЧАТИ 11.01.2011 	ДИРЕКТОР ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 24.05.2011
ЛЫЖЕНКОВ АЛЕКСЕЙ ЛЬВОВИЧ 02.09.1961	ПОСТПРЕДСТВО РОССИИ ПРИ МО В ВЕНЕ, АВСТРИЯ 06.10.2007 05.10.2011	ЗАМ. ПОСТ. ПРЕДСТАВИТЕЛЯ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 07.07.2007
МАГУТА СЕРГЕЙ МИХАЙЛОВИЧ 08.12.1958	ТРЕТИЙ ЕВРОПЕЙСКИЙ ДЕПАРТАМЕНТ 12.10.2011 	НАЧАЛЬНИК ОТДЕЛА В ДЕПАРТАМЕНТЕ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 17.06.2008
МАКСУДОВ ВЯЧЕСЛАВ ЛАТЫПОВИЧ 29.12.1956	ДСПО 08.11.2010 	ГЛАВНЫЙ СОВЕТНИК ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 29.10.2008
МАЛЫШЕВ ВЛАДИМИР ФЕДОРОВИЧ 06.01.1950	ПОСОЛЬСТВО РОССИИ В БУРУНДИ 15.02.2011 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 29.12.2006
МАНТЫЦКИЙ АЛЕКСАНДР ВИКЕНТЬЕВИЧ 06.11.1955	ВТОРОЙ ДЕПАРТАМЕНТ АЗИИ 23.08.2010 	НАЧАЛЬНИК ОТДЕЛА В ДЕПАРТАМЕНТЕ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 18.07.2007
МАРЧУК БОРИС ЮРЬЕВИЧ 22.02.1951	ПОСОЛЬСТВО РОССИИ НА МАЛЬТЕ 10.09.2010 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 24.10.2007
МАСЛЕННИКОВ ВЛАДИСЛАВ ВЛАДИСЛАВОВИЧ 11.07.1969	ДЕП. ОБЩЕЕВРОПЕЙСКОГО СОТРУДНИЧЕСТВА 11.07.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 06.09.2011
МАТВЕЕВ АЛЕКСАНДР АЛЕКСАНДРОВИЧ 30.06.1958			ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 20.07.2005
МАТЕРИЙ ЮРИЙ БОРИСОВИЧ 12.09.1953	ГЕНКОНСУЛЬСТВО РОССИИ В ДАНАНГЕ, ВЬЕТНАМ 10.09.2007 31.07.2012	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 18.06.2002
МАЦЕГОРА АЛЕКСАНДР ИВАНОВИЧ 21.11.1955	РОТАЦИОННЫЙ РЕЗЕРВ 20.09.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 28.04.2011
МАШКОВ ГРИГОРИЙ ИВАНОВИЧ 26.09.1955	ДЕПАРТАМЕНТ ПО ВОПРОСАМ БЕЗОПАСНОСТИ И РАЗОРУЖЕНИЯ 22.10.2004 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 07.07.2007
МЕДВЕДЕВ БОРИС ИВАНОВИЧ 04.05.1947	ДЕПАРТАМЕНТ ЭКОНОМИЧЕСКОГО СОТРУДНИЧЕСТВА 27.06.2011 	ГЛАВНЫЙ СОВЕТНИК ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 06.03.2007
МЕРКУЛОВ ПАВЕЛ ГЕННАДИЕВИЧ 11.12.1956	ГЕНСЕКРЕТАРИАТ (ДЕПАРТАМЕНТ) 15.11.2010 	ГЛАВНЫЙ СОВЕТНИК ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 12.04.2010
МИНАКОВ ЕВГЕНИЙ БОРИСОВИЧ30.04.54	ПОСОЛЬСТВО РОССИИ В ЛИТВЕ01.2009	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 10.02.2012
МИХАЙЛОВ ВАЛЕРИЙ АЛЕКСАНДРОВИЧ 20.10.1955	ПЕРВЫЙ ДЕПАРТАМЕНТ СТРАН СНГ 10.02.1997 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 18.07.2007
МОЛОТКОВ ИВАН НИКОЛАЕВИЧ 09.11.1962	ПОСОЛЬСТВО РОССИИ В АРЕ 03.10.2008 02.10.2012	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 21.02.2011
МОРГУНОВ ИЛЬЯ АНАТОЛЬЕВИЧ 29.01.1959	ПОСОЛЬСТВО РОССИИ В ИРАКЕ 02.03.2012	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 07.02.2007
МОРДВИНЦЕВ ЮРИЙ ТИМОФЕЕВИЧ 18.10.1955	ВТОРОЙ ДЕПАРТАМЕНТ СТРАН СНГ 01.12.2006 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 28.06.2006
МОРОЗОВ ИГОРЬ ВИТАЛЬЕВИЧ 16.02.1953	ЛАТИНОАМЕРИКАНСКИЙ ДЕПАРТАМЕНТ 15.09.2008 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 20.07.1994
МОСТЫКА ИВАН СЕРГЕЕВИЧ 07.02.1949	ГЕНКОНСУЛЬСТВО РОССИИ В ДАРХАНЕ, МОНГОЛИЯ 18.01.2011 07.02.2012	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 28.06.2006
МУСТАФАБЕЙЛИ АЛИ МИТХАДОВИЧ 21.10.1948	ГЕНКОНСУЛЬСТВО РОССИИ В ИСФАГАНЕ, ИРАН 17.01.2010 16.01.2013	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 19.10.1996
НИКИФОРОВ АНДРЕЙ АЛЕКСАНДРОВИЧ 30.01.1959	ДЕП. ПО ГУМ. СОТРУДНИЧЕСТВУ И ПРАВАМ ЧЕЛ. 02.07.2007 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 01.06.2009
НИКИФОРОВ ВЯЧЕСЛАВ ВАСИЛЬЕВИЧ 04.12.1948	ПОСОЛЬСТВО РОССИИ НА МАВРИКИИ 20.04.2011 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 11.04.2006
НИКИФОРОВ ЮРИЙ ВАСИЛЬЕВИЧ 15.11.1946	ПОСОЛЬСТВО РОССИИ В ЛАТВИИ 25.03.2010 15.11.2011	СОВЕТНИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 21.09.2006
НИКОЛАЕВ АЛЕКСАНДР АЛЕКСЕЕВИЧ 30.10.1950	ВТОРОЙ ДЕПАРТАМЕНТ АЗИИ 01.11.2010 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 21.09.2006
НИКОЛАЕВ ВЯЧЕСЛАВ ГЕННАДЬЕВИЧ 24.08.1953	ГЕНКОНСУЛЬСТВО РОССИИ В ЛИЕПАЕ, ЛАТВИЯ 31.05.2011 30.05.2014	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 13.04.2009
НИКОЛАЕВ СЕРГЕЙ АНАТОЛЬЕВИЧ 12.10.1951	ТРЕТИЙ ДЕПАРТАМЕНТ СТРАН СНГ 13.10.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 10.12.1995
НОВИКОВ АЛЕКСЕЙ АЛЕКСЕЕВИЧ	ГЕНКОНСУЛЬСТВО РОССИИ В МУМБАИ, РЕСПУБЛИКА ИНДИЯ	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 30.07.2012
НОВИКОВ ОЛЕГ АЛЕКСАНДРОВИЧ 05.08.1950	ДЕПАРТАМЕНТ ЭКОНОМИЧЕСКОГО СОТРУДНИЧЕСТВА 04.08.2010 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 21.05.2010
НОВИКОВ ПАВЕЛ БОРИСОВИЧ 04.01.1947	ЛАТИНОАМЕРИКАНСКИЙ ДЕПАРТАМЕНТ 05.01.2007 	НАЧАЛЬНИК ОТДЕЛА В ДЕПАРТАМЕНТЕ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 07.11.1997
НУРИЗАДЕ АЛЕКСАНДР БЕЮКОВИЧ 14.02.1959	ПЕРВЫЙ ЕВРОПЕЙСКИЙ ДЕПАРТАМЕНТ 20.10.2008 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 13.09.2005
ОВЕРЧЕНКО СЕРГЕЙ АЛЕКСАНДРОВИЧ	ПОСОЛЬСТВО РОССИИ В АРМЕНИИ	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 14.12.2012
ОВЕЧКО ГЕННАДИЙ АЛЕКСЕЕВИЧ 14.06.1967	ГРУППА ПОСЛОВ ПО ОСОБЫМ ПОРУЧЕНИЯМ МИД РФ 02.02.2011 	ПОСОЛ ПО ОСОБЫМ ПОРУЧЕНИЯМ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 21.10.2010
ОВСЯННИКОВ ВАЛЕНТИН ВАСИЛЬЕВИЧ 17.08.1946	СЕКЦИЯ ИНТЕРЕСОВ РФ ПРИ ПОСОЛ-ВЕ ШВЕЙЦАРИИ В ГРУЗИИ 04.09.2010 17.08.2011	СОВЕТНИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 30.03.2006
ОЗЕРОВ ОЛЕГ БОРИСОВИЧ 20.08.1958	ПОСОЛЬСТВО РОССИИ В САУДОВСКОЙ АРАВИИ 08.02.2010 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 07.07.2007
ОЛИСОВ АЛЕКСАНДР ВАСИЛЬЕВИЧ 12.09.1950	ПОСОЛЬСТВО РОССИИ В ВЕНГРИИ 14.01.2008 13.01.2012	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 12.04.2010
ОРДЖОНИКИДЗЕ ГРИГОРИЙ ЭДУАРДОВИЧ 23.01.1952	ДЕПАРТАМЕНТ МЕЖДУНАРОДНЫХ ОРГАНИЗАЦИЙ 02.08.2004 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 15.08.2011
ПАВЛОВ ВЛАДИМИР НИКОЛАЕВИЧ 12.07.1957	ГЕНКОНСУЛЬСТВО РОССИИ В ТОРОНТО, КАНАДА 01.10.2011 30.09.2014	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 13.07.2004
ПАНЕВКИН ИГОРЬ КОНСТАНТИНОВИЧ 04.01.1951	ПРАВОВОЙ ДЕПАРТАМЕНТ 05.01.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 12.06.2011
ПАНКИН АЛЕКСАНДР АНАТОЛЬЕВИЧ 25.06.1963	ПОСТПРЕДСТВО РОССИИ ПРИ ООН, США 26.03.2010 25.03.2013	1-Й ЗАМ.ПОСТ. ПРЕДСТАВИТЕЛЯ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 23.04.2008
ПАНТЕЛЕЕВ ЕВГЕНИЙ АЛЕКСАНДРОВИЧ 21.08.1962	ДЕПАРТАМЕНТ ИНФОРМАЦИИ И ПЕЧАТИ 22.11.2010 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 29.10.2008
ПАРАМОНОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ 01.01.1962	ГЕНКОНСУЛЬСТВО РОССИИ В МИЛАНЕ, ИТАЛИЯ 16.09.2008 15.09.2012	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 22.11.2010
ПАУЗИН ЛЕВ НИКОЛАЕВИЧ 01.01.1948	КОНСУЛЬСКИЙ ДЕПАРТАМЕНТ 07.08.1997 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 13.04.1999
ПЕРАДЗЕ ЗУРАБ ГИВОВИЧ	ГЕНКОНСУЛЬСТВО РОССИИ В ГАВАНЕ, КУБА	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 10.02.2012
ПЕТЛЯКОВ СЕРГЕЙ ЯКОВЛЕВИЧ 08.10.1949	ГЕНКОНСУЛЬСТВО РОССИИ В АЛЕКСАНДРИИ, АРЕ 23.07.2010 23.07.2012	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 15.01.2002
ПЕТРАЧКОВ АЛЕКСАНДР ФЕДОРОВИЧ 21.05.1958	ГЕНКОНСУЛЬСТВО РОССИИ В АНТВЕРПЕНЕ, БЕЛЬГИЯ 17.08.2011 16.08.2014	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 28.04.2011
ПЕТРОВ СЕРГЕЙ ВЛАДИМИРОВИЧ 14.12.1962	ДЕПАРТАМЕНТ СЕВЕРНОЙ АМЕРИКИ 29.03.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 16.07.2009
ПЕТРОВИЧ СЕРГЕЙ СВЯТОСЛАВОВИЧ 08.02.1969	ПОСОЛЬСТВО РОССИИ В ИРЛАНДИИ 03.02.2008 02.02.2012	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 17.01.2011
ПИСИЦЫН СЕРГЕЙ АЛЕКСАНДРОВИЧ 16.09.1956	ПОСОЛЬСТВО РОССИИ В ЧИЛИ 30.08.2007 31.05.2012	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 17.11.2009
ПОГОДИН АЛЕКСЕЙ АЛЕКСАНДРОВИЧ 30.08.1952	ДЕПАРТАМЕНТ БЛИЖНЕГО ВОСТОКА И СЕВЕРНОЙ АФРИКИ 07.04.2008 	НАЧАЛЬНИК ОТДЕЛА В ДЕПАРТАМЕНТЕ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 06.03.2007
ПОДБЕРЕЗКО СЕРГЕЙ НИКОЛАЕВИЧ 18.01.1959	ГЕНКОНСУЛЬСТВО РОССИИ В ШЭНЬЯНЕ, КНР 08.02.2009 07.02.2012	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 26.08.2011
ПОДЪЕЛЫШЕВ АНДРЕЙ ЛЕОНИДОВИЧ 01.07.1962	КОНСУЛЬСКИЙ ДЕПАРТАМЕНТ 27.04.2001 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 01.06.2009
ПОПОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ 19.04.1961	ГЕНСЕКРЕТАРИАТ (ДЕПАРТАМЕНТ) 19.09.2011 	НАЧАЛЬНИК ОТДЕЛА В ДЕПАРТАМЕНТЕ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 17.12.2008
ПОПОВ ИГОРЬ ВИТАЛЬЕВИЧ	ГЕНКОНСУЛЬСТВО РОССИИ В ХАЙФЕ, ИЗРАИЛЬ	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 04.11.2011
ПОСПЕЛОВ ВАЛЕРИЙ ИВАНОВИЧ 19.05.1956	ГЕНКОНСУЛЬСТВО РОССИИ В ЭРБИЛЕ, ИРАК 24.02.2011 23.02.2014	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 31.07.2008
ПОСПЕЛОВ ВАСИЛИЙ БОРИСОВИЧ 19.06.1957	ДЕПАРТАМЕНТ ВНЕШНЕПОЛИТИЧЕСКОГО ПЛАНИРОВАНИЯ 02.05.2007 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 15.07.2005
ПРИЦЕПОВ АНДРЕЙ АНАТОЛЬЕВИЧ 06.05.1960	ВТОРОЙ ЕВРОПЕЙСКИЙ ДЕПАРТАМЕНТ 07.09.2009 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 12.06.2011
ПРОКОФЬЕВ АЛЕКСАНДР АЛЕКСЕЕВИЧ 11.02.1959	ПОСОЛЬСТВО РОССИИ В ЛНДР 07.02.2007 06.02.2012	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 01.06.2009
